DATAFLOW,LAST UPDATE,freq,unit,iccs,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,1994,302,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,1995,246,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,1996,214,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,1997,178,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,1998,196,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,1999,157,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2000,143,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2001,137,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2002,142,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2003,147,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2004,91,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2005,113,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2006,91,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Estonia,2007,93,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,1993,150,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,1994,133,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,1995,151,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,1996,169,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,1997,203,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,1998,176,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,1999,155,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2000,146,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2001,132,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2002,94,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2003,116,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2004,111,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2005,132,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2006,110,,
ESTAT:CRIM_GEN(1.0),17/09/15 23:00:00,Annual,Number,Intentional homicide,Greece,2007,128,,
